Id;Nombre;Apellido1;Apellido2;Sexo;Usuario;Contrase�a;Correo;Nacimiento;Edad;Ingresos;Divorcio;NumeroLikesRecibidos;NumeroLikesOtorgados;NumeroMatches;Estado;Estatura
132;María Pilar;Gómez;Alonso;M;gomez13;292316;gomez13@mail.com;4/07/1975;44;No aplica;NO;56;24;1;Inactivo;
133;Andrea;Fernández;Sancho;M;andfernandez;294538;andfernandez@mail.es;12/07/1974;45;No aplica;SI;57;71;1;Disponible;
134;Teresa;�?lvarez;Costa;M;talvarez;296760;talvarez@email.net;5/08/1991;28;No aplica;NO;73;52;0;Inactivo;
135;Sergio;González;Moyano;H;sergiogonzalez;298982;sergiogonzalez@correo.net;7/09/1977;42;396,21;No aplica;75;61;6;Inactivo;
136;Jesús;García;Ballesteros;H;jgarcia;301204;jgarcia@email.com;2/07/1969;50;245,05;No aplica;29;38;2;Inactivo;
137;Sergio;Losada;Espinosa;H;s.losada;303426;s.losada@correo.es;1/07/1943;76;203,02;No aplica;20;5;0;Disponible;
138;Alfonso;Julián;Centeno;H;julian39;305648;julian39@correo.net;9/07/1984;35;967,56;No aplica;46;20;1;Disponible;
139;�?lvaro;Díaz;Valero;H;alvarodiaz;307870;alvarodiaz@correo.es;13/06/1951;68;569,13;No aplica;1;50;0;Disponible;
140;�?ngel;�?lvarez;Heredia;H;aalvarez;310092;aalvarez@mail.com;26/04/1961;58;175,25;No aplica;95;25;2;Inactivo;
141;Miguel;Muñoz;Sánchez;H;mmuñoz;312314;mmuñoz@email.com;14/11/1974;44;930,21;No aplica;45;8;1;Disponible;
142;Josefa;Bernárdez;García;M;j.bernardez;314536;j.bernardez@email.es;10/11/1993;25;No aplica;SI;81;30;2;Inactivo;
143;Miguel;Roca;Alba;H;mroca;316758;mroca@correo.es;28/10/1937;82;401,26;No aplica;12;62;2;Inactivo;
144;Natalia;Nieto;Martínez;M;natalianieto;318980;natalianieto@email.com;4/08/1939;80;No aplica;SI;30;5;0;Inactivo;
145;María Isabel;Elena;Ocaña;M;m.elena;321202;m.elena@email.com;8/07/1996;23;No aplica;NO;1;10;0;Disponible;
146;Marta;López;Mendoza;M;mlopez12;323424;mlopez12@mail.es;30/07/1937;82;No aplica;NO;54;34;1;Disponible;
147;Antonio;Neira;Díaz;H;a.neira;325646;a.neira@mail.es;29/01/1972;47;407,85;No aplica;90;60;3;Disponible;
148;Miguel �?ngel;Sánchez;González;H;msanchez;327868;msanchez@mail.es;9/08/1986;33;364,52;No aplica;91;36;6;Inactivo;
149;Pilar;Robles;Vila;M;robles90;330090;robles90@email.com;1/02/1944;75;No aplica;SI;77;90;12;Inactivo;
150;Antonia;Casal;Gómez;M;antoniacasal;332312;antoniacasal@correo.net;29/03/1936;83;No aplica;SI;95;82;12;Inactivo;
151;Juan José;Godoy;Roca;H;jgodoy;334534;jgodoy@correo.net;20/07/1936;83;772,62;No aplica;85;87;13;Disponible;
152;María Pilar;Navarro;Almendros;M;marinavarro;336756;marinavarro@email.com;18/12/1963;55;No aplica;SI;62;17;2;Inactivo;
153;María Dolores;Ureña;Pena;M;mariadolores.ureña;338978;mariadolores.ureña@email.com;30/07/1992;27;No aplica;SI;90;60;5;Inactivo;
154;María Rosario;Peralta;Hernández;M;mperalta;341200;mperalta@email.com;5/04/1949;70;No aplica;NO;98;38;3;Inactivo;
155;Mónica;Castillo;Párraga;M;monicacastillo;343422;monicacastillo@correo.es;30/05/1978;41;No aplica;SI;21;22;0;Disponible;
156;María Luisa;Del Rio;Gómez;M;marialuisade;345644;marialuisade@mail.com;27/04/1961;58;No aplica;SI;52;88;7;Inactivo;
157;José;Cortes;Fernández;H;jcortes;347866;jcortes@mail.net;27/07/1969;50;766,82;No aplica;57;25;4;Inactivo;
158;Marta;Marcos;Viejo;M;marcos88;350088;marcos88@correo.com;12/06/1956;63;No aplica;SI;8;43;0;Inactivo;
159;Rafael;García;Márquez;H;rafaelgarcia78;352310;rafaelgarcia78@mail.com;21/10/1946;73;799,41;No aplica;91;2;0;Disponible;
160;Anna;Mera;Pizarro;M;anna.mera;354532;anna.mera@mail.com;14/05/1983;36;No aplica;NO;48;19;3;Disponible;
161;José Antonio;Núñez;García;H;jnuñez;356754;jnuñez@correo.net;16/08/1962;57;870,13;No aplica;12;6;1;Disponible;
162;María Carmen;Marín;Marrero;M;marmarin;358976;marmarin@mail.net;23/07/1961;58;No aplica;NO;56;70;2;Inactivo;
163;�?ngel;Merino;Mera;H;merino48;361198;merino48@mail.net;15/11/1978;40;67,67;No aplica;68;76;2;Disponible;
164;María Teresa;Huang;Pino;M;huang31;363420;huang31@email.net;2/08/1984;35;No aplica;NO;38;96;2;Disponible;
165;María;Georgiev;Tejada;M;georgiev89;365642;georgiev89@mail.com;19/02/1964;55;No aplica;NO;89;96;2;Disponible;
166;Mercedes;Gutiérrez;Molina;M;gutierrez90;367864;gutierrez90@correo.com;25/01/1953;66;No aplica;SI;66;20;2;Inactivo;
167;Miguel;Cueto;Muñoz;H;m.cueto;370086;m.cueto@correo.com;28/07/1953;66;417,9;No aplica;10;33;0;Inactivo;
168;Francisco Javier;Sánchez;Castillo;H;sanchez55;372308;sanchez55@email.com;22/09/1960;59;316,16;No aplica;30;3;0;Inactivo;
169;Marta;Del Castillo;Saavedra;M;de79;374530;de79@email.com;22/08/1986;33;No aplica;SI;35;27;4;Inactivo;
170;Rafael;Alonso;Barbero;H;alonso95;376752;alonso95@email.net;19/01/1979;40;73,78;No aplica;43;10;0;Inactivo;
171;María Pilar;Talavera;Escobar;M;maritalavera;378974;maritalavera@mail.com;13/01/1954;65;No aplica;SI;33;6;0;Inactivo;
172;Javier;Cano;Ruiz;H;cano13;381196;cano13@correo.es;21/05/1998;21;787,99;No aplica;43;9;1;Inactivo;
173;María Teresa;Barbero;Malo;M;barbero96;383418;barbero96@email.com;23/06/1943;76;No aplica;NO;66;37;1;Disponible;
174;María Carmen;Gómez;Herrero;M;mar.gomez;385640;mar.gomez@email.com;9/05/1945;74;No aplica;SI;51;18;3;Inactivo;
175;Manuel;Ortiz;Sánchez;H;ortiz23;387862;ortiz23@mail.com;4/02/1971;48;134,34;No aplica;39;4;0;Inactivo;
176;María Jesús;Camacho;Ospina;M;maricamacho;390084;maricamacho@mail.com;3/08/1937;82;No aplica;SI;58;11;0;Inactivo;
177;Rafaela;Pérez;Bellón;M;rperez;392306;rperez@email.es;3/04/1980;39;No aplica;NO;6;60;1;Inactivo;
178;Joaquín;Vidal;Alvarado;H;joaquin.vidal;394528;joaquin.vidal@mail.com;30/08/1975;44;898,2;No aplica;21;40;0;Disponible;
179;Alfonso;Padilla;Marques;H;alfonsopadilla52;396750;alfonsopadilla52@correo.com;8/03/1948;71;617,26;No aplica;89;87;6;Inactivo;
180;Josefa;Marques;Contreras;M;jmarques;398972;jmarques@correo.com;1/08/1947;72;No aplica;SI;97;66;3;Inactivo;
181;Miguel �?ngel;Rubio;López;H;migrubio;401194;migrubio@correo.es;21/10/1969;50;414,1;No aplica;55;13;1;Inactivo;
182;Manuela;Mengual;Bueno;M;manuelamengual82;403416;manuelamengual82@correo.es;11/11/1987;31;No aplica;SI;81;26;2;Disponible;
183;Miguel �?ngel;Fernández;Bravo;H;migue.fernandez;405638;migue.fernandez@correo.com;4/07/1962;57;339,21;No aplica;53;63;4;Inactivo;
184;Francisco;Carranza;Garcés;H;franciscocarranza;407860;franciscocarranza@correo.net;27/11/1996;22;371,32;No aplica;23;98;3;Inactivo;
185;Josefa;García;García;M;josgarcia;410082;josgarcia@mail.com;1/04/1991;28;No aplica;NO;13;28;1;Inactivo;
186;Dolores;Atienza;Ribeiro;M;dolatienza;412304;dolatienza@mail.es;24/05/1970;49;No aplica;SI;39;28;4;Inactivo;
187;Enrique;Guerrero;Barragán;H;guerrero17;414526;guerrero17@mail.es;18/10/1937;82;658,96;No aplica;54;72;6;Inactivo;
188;Rosa María;Chica;Costa;M;roschica67;416748;roschica67@correo.es;21/08/1952;67;No aplica;NO;9;1;0;Disponible;
189;Juan José;Campos;García;H;j.campos;418970;j.campos@email.net;30/11/1959;59;643,03;No aplica;77;42;2;Disponible;
190;Francisco Javier;Piñero;Tovar;H;frapiñero;421192;frapiñero@email.es;18/08/1977;42;679,75;No aplica;45;6;0;Disponible;
191;Alejandro;Lastra;Mora;H;alejandrolastra100;423414;alejandrolastra100@correo.net;15/11/1962;56;477,9;No aplica;30;79;0;Disponible;
192;Inmaculada;Asensio;Moral;M;iasensio25;425636;iasensio25@correo.net;4/03/1987;32;No aplica;SI;72;19;1;Inactivo;
193;Cristina;Cabrera;Barranco;M;cabrera66;427858;cabrera66@email.com;13/12/1962;56;No aplica;SI;75;100;10;Disponible;
194;Mercedes;Díaz;Cantos;M;merdiaz;430080;merdiaz@email.net;18/01/1962;57;No aplica;NO;81;20;3;Disponible;
195;José Luis;García;Pereira;H;jos.garcia;432302;jos.garcia@correo.es;27/02/2001;18;477,86;No aplica;10;11;0;Disponible;
196;Francisco;Santiago;Navarro;H;santiago26;434524;santiago26@correo.es;14/04/1942;77;947,54;No aplica;90;85;0;Inactivo;
197;Antonio;Otero;Navas;H;ant.otero;436746;ant.otero@email.net;24/04/1957;62;908,69;No aplica;14;65;0;Disponible;
198;María;González;Ferreras;M;mgonzalez45;438968;mgonzalez45@correo.com;10/09/1943;76;No aplica;NO;3;93;0;Disponible;
199;Juan Antonio;García;Merino;H;garcia32;441190;garcia32@mail.es;9/02/1989;30;235,93;No aplica;15;46;2;Inactivo;
